id,component,facet,test_type,query,prerequisite,target_layer,expected_outcome,should_fail,failure_point,follow_up,verify_in_db,notes
ONB-013,onboarding,tax_registration,validation_fail,"My GSTIN is 27AAPFU0939F1ZV",none,my_shop_profile:propose_tax_registration_update,Asks whether shop is GST registered before saving,yes,msp_verify or msp_tool:clarification,,shop_profile unchanged,GSTIN without gstRegistered boolean fails facet completeness
ONB-014,onboarding,tax_registration,validation_fail,"I am not GST registered but my GSTIN is 27AAPFU0939F1ZV",none,my_shop_profile:propose_tax_registration_update,Rejected; cannot attach GSTIN when not registered,yes,msp_tool:gstin_without_registration,,shop_profile.gst_registered not true,Mutually exclusive tax facet rule
ONB-015,onboarding,tax_registration,happy_path,"I am not GST registered",none,my_shop_profile:propose_tax_registration_update,gst_registered=false saved; gstin cleared or null,no,,callback:yes,"shop_profile.gst_registered=false, shop_profile.gstin=null",Not-registered path still uses confirmation unless complete_autonomy
ONB-016,onboarding,tax_registration,clarification,"Yes I am GST registered",none,my_shop_profile,Asks for missing GSTIN,yes,msp_verify:gstin required,,shop_profile.gstin unchanged,Incomplete tax facet at plan verification
ONB-017,onboarding,tax_registration,confirmation_deny,"I am GST registered. GSTIN 27AAPFU0939F1ZV",none,my_shop_profile:propose_tax_registration_update,Confirmation shown; tax fields not saved if denied,no,,callback:no,shop_profile tax fields unchanged,Tests user_rejected on tax tool
ONB-018,onboarding,tax_registration,read,"What is my GSTIN?",gstin already saved,my_shop_profile:read_shop_profile,Returns saved GSTIN from profile,no,,,answer matches shop_profile.gstin,Read path for tax facet
ONB-019,onboarding,instructions,happy_path,"Always reply to me in Hindi",none,my_shop_profile:update_instruction_preference,Instruction appended to instructions_json,no,,,shop_profile.instructions_json contains Hindi instruction,No confirmation required for instructions facet
ONB-020,onboarding,instructions,happy_path,"Keep responses short and use bullet points",one instruction already stored,my_shop_profile:update_instruction_preference,Second instruction appended (default append mode),no,,,instructions_json has two entries,Tests append mode default
ONB-021,onboarding,instructions,happy_path,"Replace all my instructions with: only answer in English",instructions already stored,my_shop_profile:update_instruction_preference,Single instruction replaces prior list,no,,,instructions_json has one English-only entry,Gemini should plan mode=replace
ONB-022,onboarding,instructions,read,"What instructions have I given you?",instructions already stored,my_shop_profile:read_shop_profile,Lists saved agent instructions,no,,,response matches instructions_json,Read path for instructions facet
ONB-023,onboarding,instructions,clarification,"I want to change how you talk to me",no instructions yet,my_shop_profile,Asks what instruction or preference to save,no,,,,Vague intent should clarify not write
ONB-024,onboarding,cross_facet,happy_path,"My shop is Sharma Kirana. I am Raj Sharma. I am GST registered with GSTIN 27AAPFU0939F1ZV. Always reply in Hindi.",empty profile,global_orchestrator + my_shop_profile,Plans multiple facets; identity may save first; tax needs confirmation; instruction saves,no,,callback:yes on tax confirmation if prompted,"identity, tax, instructions all populated",Full first-message onboarding stress test
ONB-025,onboarding,cross_facet,happy_path,"My shop is Corner Store and my name is Meera",empty profile,my_shop_profile:propose_shop_identity_update,Identity saved in one message without GST or instructions,no,,,shop_name and owner_name set,Identity-only onboarding slice
ONB-026,onboarding,cross_facet,clarification,"Tell me about my shop",partially filled profile,my_shop_profile:read_shop_profile,Summarizes known profile fields; notes what is still missing,no,,,,Cross-facet read without writes
ONB-027,onboarding,global_orchestrator,routing,"How much sugar is left?",any,global_orchestrator,Polite response that inventory capability is not available yet; no shop_profile writes,no,,,no shop_profile changes,Out-of-scope intent should not hit MSP write tools
ONB-028,onboarding,global_orchestrator,routing,"Hello",fresh store,global_orchestrator,Generic greeting or onboarding nudge; no error status,no,,,execution_ledger.terminal_status=ok,Smoke test for GO planning + response on empty intent
ONB-029,onboarding,store_do,transport,/start,first-time store,store_do + conversation_manager,First-start welcome with onboarding prompt delivered,no,,,store_meta initialized,Tests C2 first-start path not MSP writes
ONB-030,onboarding,store_do,transport,/start,store already initialized,store_do,Welcomes back without repeating full onboarding prompt,no,,,,Repeat /start behavior
ONB-031,onboarding,confirmation_flow,timeout,"Change my shop name to Timeout Test Shop",shop_name already set,confirmation_flow + runtime_ports,Confirmation buttons shown; if no tap before timeout write denied,yes,msp_tool:timeout,,shop_profile.shop_name unchanged,Manual: do not tap buttons until timeout (default 5 min)
ONB-032,onboarding,tax_registration,plan_verify_fail,"Update my GST",profile has gst_registered=true and valid gstin,my_shop_profile,Asks for new GSTIN or registration change details; should not call tool with incomplete params,yes,msp_verify,,,Vague tax update with no new values
